Proyecto,Complejo,ANP,ANP_name,ANP_shortname,Buffer_file,Buffer_name
CoSMoS,Complejo Sierra Gorda,Barranca de Metztitlán,Barranca de Metztitlán,RBBM,zi6105144_25cw,Reserva de la Biosfera Barranca de Metztitlán
CoSMoS,Complejo Chichinautzin,Chichinautzin,Corredor Biológico Chichinautzin,APFFCBCH,zi6702093_25cw,Área de Protección de Flora y Fauna Corredor Biológico Chichinautzin
CoSMoS,Complejo Ciénegas,Ciénegas de Lerma,Ciénegas del Lerma,APFFCL,zi6703153_25cw,Área de Protección de Flora y Fauna Cienegas del Lerma
CoSMoS,Complejo Sierra Nevada,Cumbres del Ajusco,Cumbres del Ajusco,PNCA,zi6306011_25cw,Parque Nacional Cumbres del Ajusco
CoSMoS,Complejo Sierra Nevada,Desierto de los Leones,Desierto de los Leones,PNDL,zi6301001_25cw,Parque Nacional Desierto de los Leones
CoSMoS,Complejo Sierra Gorda,El Chico,El Chico,PNCh,zi6325069_25cw,Parque Nacional El Chico
CoSMoS,Complejo Chichinautzin,El Tepozteco,El Tepozteco,PNTPZ,zi6309015_25cw,Parque Nacional El Tepozteco
CoSMoS,Complejo Selvas Secas,El Veladero,El Veladero,PNV,zi6323059_25cw,Parque Nacional El Veladero
CoSMoS,Complejo Selvas Secas,Grutas de Cacahuamilpa,Grutas de Cacahuamilpa,PNGC,zi6303004_25cw,Parque Nacional Grutas de Cacahuamilpa
CoSMoS,Complejo Sierra Nevada,Insurgente Miguel Hidalgo y Costilla,Insurgente Miguel Hidalgo y Costilla,PNIMHC,zi6305009_25cw,Parque Nacional Insurgente Miguel Hidalgo y Costilla
CoSMoS,Complejo Sierra Nevada,Iztaccíhuatl-Popocatépetl,Iztaccíhuatl-Popocatépetl,PNIP,zi6302002_25cw,Parque Nacional Iztaccíhuatl-Popocatépetl
CoSMoS,Complejo Sierra Nevada,La Montaña Malinche,La Montaña Malinche o Matlalcuéyatl,PNMM,zi6318031_25cw,Parque Nacional La Montaña Malinche o Matlalcuéyatl
CoSMoS,Complejo Chichinautzin,Lagunas de Zempoala,Lagunas de Zempoala,PNLZ,zi6308013_25cw,Parque Nacional Lagunas de Zempoala
CoSMoS,Complejo Sierra Gorda,Los Mármoles,Los Mármoles,PNM,zi6304007_25cw,Parque Nacional Los Mármoles
CoSMoS,Complejo Mariposa Monarca,Mariposa Monarca,Mariposa Monarca,RBMM,zi6104138_25cw,Reserva de la Biosfera Mariposa Monarca
CoSMoS,Complejo Mariposa Monarca,Nevado de Toluca,Nevado de Toluca,APFFNT,zi6701003_25cw,Área de Protección de Flora y Fauna Nevado de Toluca
CoSMoS,Complejo Selvas Secas,Sierra de Huautla,Sierra de Huautla,RBSH,zi6103137_25cw,Reserva de la Biosfera Sierra de Huautla
CoSMoS,Complejo Sierra Gorda,Sierra Gorda de Guanajuato,Sierra Gorda de Guanajuato,RBSGG,zi6106160_25cw,Reserva de la Biosfera Sierra Gorda de Guanajuato
CoSMoS,Complejo Mariposa Monarca,Valle de Bravo,"Z.P.F.T.C.C. de los ríos Valle de Bravo, Malacatepec, Tilostoc y Temascaltepec",APRNVB,zi6601042_25cw,"Área de Protección de Flora y Fauna Z.P.F.T.C.C. de los ríos Valle de Bravo, Malacatepec, Tilostoc y Temascaltepec"
Sierra y Mar,Norte,,Cañón de Santa Elena,CSE,,
Sierra y Mar,Norte,,Ocampo,Oc,,
Sierra y Mar,Norte,,Maderas del Carmen,MC,,
Sierra y Mar,Norte,,C.A.D.N.R. 004 Don Martín,DM,,
Sierra y Mar,Centro,,Sierra del Abra Tanchipa,SAT,,
Sierra y Mar,Centro,,Sierra Gorda,SG,,
Sierra y Mar,Centro,,Z.P.F.V. la Cuenca Hidrográfica del Río Necaxa,RN,,
Sierra y Mar,Centro,,Pico de Orizaba,PO,,
Sierra y Mar,Centro,,Cofre de Perote o Nauhcampatépetl,CPN,,
Sierra y Mar,Sur,,Los Tuxtlas,LT,,
Sierra y Mar,Sur,,Pantanos de Centla,PC,,
Sierra y Mar,Sur,,Cañón del Usumacinta,CU,,